Incentive Name,Website Link,State,County,Jurisdiction,Provider,Incentive Type,Technology,Sub-Technology,Product,Product Capacity,Product Eligibility,Incentive Amount,Unit,Incentive Value,Estimated Incentive Value,Application/Eligibility Link,Assumption Type,Assumed Capacity
179D Commercial Buildings Energy-Efficiency Tax Deduction,Link,USA,USA,Federal,IRS,Tax Deduction,HVAC,HVAC,HVAC Upgrades,,,Incentives starting at $1.88/sqft and going upto $5/sqft for additional adders,,2820,2820,Link,Standard,
179D Commercial Buildings Energy-Efficiency Tax Deduction,Link,USA,USA,Federal,IRS,Tax Deduction,LED Lighting,LED Lighting,LED Lighting Upgrades,,,Incentives starting at $1.88/sqft and going upto $5/sqft for additional adders,,2820,2820,Link,Standard,
179D Commercial Buildings Energy-Efficiency Tax Deduction,Link,USA,USA,Federal,IRS,Tax Deduction,Insulation,Insulation,Insulation Upgrades,,,Incentives starting at $1.88/sqft and going upto $5/sqft for additional adders,,2820,2820,Link,Standard,
Federal Solar Tax Credits for Businesses - Investment Tax Credit,Link,USA,USA,Federal,IRS,Tax Credit,Solar,Solar,Solar Panel Upgrades,,,30% of project cost,,10000,10000,Link,Standard,
Federal Solar Tax Credits for Businesses - Production Tax Credit,Link,USA,USA,Federal,IRS,Tax Credit,Solar,Solar,Solar Panel Upgrades,,,$0.026/kWh generated,,10000,10000,Link,Standard,
"Local Option - Solar, Wind & Biomass Energy Systems Exemption",Link,NY,NY,State,"New York State Department of Taxation and Finance 
",Tax Exemption,Solar,Solar,Solar Panel Upgrades,,,Tax Exemption for 15 years to the extent of any increase in assessed value due to the system,,10000,10000,Link,Standard,
Local Option - Real Property Tax Exemption for Green Buildings,Link,NY,NY,State,"New York State Department of Taxation and Finance 
",Tax Exemption,Solar,Solar,Property Tax Exemption,,"The value of the construction or reconstruction project must be greater than $10,000, and may not be one of ordinary maintenance and repairs.",Property Tax Exemption,,10000,10000,Link,Standard,
Local Option - Real Property Tax Exemption for Green Buildings,Link,NY,NY,State,"New York State Department of Taxation and Finance 
",Tax Exemption,HVAC,HVAC,Property Tax Exemption,,"The value of the construction or reconstruction project must be greater than $10,000, and may not be one of ordinary maintenance and repairs.",Property Tax Exemption,,10000,10000,Link,Standard,
Local Option - Real Property Tax Exemption for Green Buildings,Link,NY,NY,State,"New York State Department of Taxation and Finance 
",Tax Exemption,LED Lighting,LED Lighting,Property Tax Exemption,,"The value of the construction or reconstruction project must be greater than $10,000, and may not be one of ordinary maintenance and repairs.",Property Tax Exemption,,10000,10000,Link,Standard,
Local Option - Real Property Tax Exemption for Green Buildings,Link,NY,NY,State,"New York State Department of Taxation and Finance 
",Tax Exemption,Controls,Controls,Property Tax Exemption,,"The value of the construction or reconstruction project must be greater than $10,000, and may not be one of ordinary maintenance and repairs.",Property Tax Exemption,,10000,10000,Link,Standard,
Local Option - Real Property Tax Exemption for Green Buildings,Link,NY,NY,State,"New York State Department of Taxation and Finance 
",Tax Exemption,Insulation,Insulation,Property Tax Exemption,,"The value of the construction or reconstruction project must be greater than $10,000, and may not be one of ordinary maintenance and repairs.",Property Tax Exemption,,10000,10000,Link,Standard,
Solar Sales Tax Exemption,Link,NY,NY,State,"New York State Department of Taxation and Finance 
",Tax Exemption,Solar,Solar,Solar Panel Upgrades,,"This rebate is only applicable to certain counties mentioned in TE_Jurisdiction_NY_Solar
",Solar Tax Exemption,,10000,10000,Link,Standard,
New York City - Property Tax Abatement for Photovoltaic (PV) and Energy Storage equipment,Link,NY,NY,State,New York City Department of Buildings,Tax Abatement,Solar,Solar,Solar Panel Upgrades,,,"The maximum abatement is $62,500 per year for 4 years or the building's annual tax liability (whichever is less)",,10000,10000,Link,Standard,
NYS Clean Heat Program,Link,NY,NY,Utility,National Grid,Discount,HVAC,Heat Pump,Heat Pump - ccASHP: Full Load Heating,Variable Capacities,NEEP certified,"$800 - $1200/10,000 BTUH of maximum heating capacity at NEEP 5°F",,1000,5000,Link,HVAC Type 1,5
NYS Clean Heat Program,Link,NY,NY,Utility,National Grid,Discount,HVAC,Heat Pump,Heat Pump - GSHP: Full Load Heating,Variable Capacities,NEEP certified,"$1500/10,000 BTUH of full load heating capacity as certified",,1500,7500,Link,HVAC Type 1,5
NYS Clean Heat Program,Link,NY,NY,Utility,National Grid,Discount,HVAC,Heat Pump,Heat Pump Water Heater,Tank Capacity: <120 gallons,NEEP certified,$700/unit,unit,700,946.56,Link,HVAC Type 3,2.5
NYS Clean Heat Program,Link,NY,NY,Utility,National Grid,Discount,HVAC,Heat Pump,Heat Pump - GSHP Desuperheater,Variable Capacities,NEEP certified,$100/unit,unit,100,135.22,Link,HVAC Type 3,2.5
NYS Clean Heat Program,Link,NY,NY,Utility,National Grid,Discount,HVAC,Heat Pump,Custom Space Heating plus Envelope,Variable Capacities,NEEP certified,$70 - $80/MMBTU of annual energy savings,MBTU,75,1140.7,Link,HVAC Type 2,
NYS Clean Heat Program,Link,NY,NY,Utility,National Grid,Discount,HVAC,Heat Pump,Heat Pump Water Heater,Tank Capacity: >120 gallons,NEEP certified,$70/MBTU of annual energy savings,MBTU,70,1064.66,Link,HVAC Type 2,
NYS Clean Heat Program,Link,NY,NY,Utility,National Grid,Discount,HVAC,Heat Pump,Custom Space Heating Applications,Variable Capacities,NEEP certified,$70/MBTU of annual energy savings,MBTU,70,1064.66,Link,HVAC Type 2,
NYS Clean Heat Program,Link,NY,NY,Utility,National Grid,Discount,HVAC,Heat Pump,Custom Space Heating plus Envelope,Variable Capacities,NEEP certified,"Tier 1: $70/MMBTU of annual
energy savings
Tier 2: $80/MMBTU of annual
energy savings",MBTU,75,1140.7,Link,HVAC Type 2,
NYS Clean Heat Program,Link,NY,NY,Utility,National Grid,Discount,HVAC,Heat Pump,Commercial HPWH,Tank Capacity: >120 gallons,NEEP certified,$70/MBTU of annual energy savings,MBTU,70,1064.66,Link,HVAC Type 2,
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED - Tier 1,Variable Capacities,Design LPD is >10% better than code required baseline LPD and include code compliant controls,$0.4/Watt saved,kWh,0.07,86.3,Link,Lighting Type 1,
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED - Tier 2,Variable Capacities,Design LPD is >20% better than code required baseline LPD and include code compliant controls,$0.55/Watt saved,kWh,0.09,111,Link,Lighting Type 1,
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED - Tier 3,Variable Capacities,Design LPD is >30% better than code required baseline LPD and include code compliant controls,$0.65/Watt saved,kWh,0.1,123.3,Link,Lighting Type 1,
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED - Tier 4,Variable Capacities,Design LPD is >40% better than code required baseline LPD and include code compliant controls,$0.8/Watt saved,kWh,0.13,164,Link,Lighting Type 1,
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,LED Controls,Networked Control Adder,Variable Capacities,ENERGY STAR or DLC-listed,$0.8/Watt saved,kWh,0.13,164,Link,Lighting Type 1,
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Downlights,"LEDInteriorCommercialRecessed
DownlightLuminairesorRetrofitKits",Wattage: <= 10W,ENERGY STAR or DLC-listed,$5/unit,,5,250,,Lighting Type 2,900
Illuminating Excellence - Performance-based lighting incentives,Link,NY,NY,Utility,National Grid,Discount,LED Lighting,Interior,LED Interior 1x4 and 2x2 Luminaires or Integrated Retrofit Kits,Wattage: 10 < W < 50,ENERGY STAR or DLC-listed,$20/unit,,20,680,,Lighting Type 2,1350
