Zipcode,State,City,County,Country
6390,NY,FISHERS ISLAND,SUFFOLK,USA
10001,NY,NEW YORK,NEW YORK,USA
10002,NY,NEW YORK,NEW YORK,USA
10003,NY,NEW YORK,NEW YORK,USA
10004,NY,NEW YORK,NEW YORK,USA
10005,NY,NEW YORK,NEW YORK,USA
10006,NY,NEW YORK,NEW YORK,USA
10007,NY,NEW YORK,NEW YORK,USA
10009,NY,NEW YORK,NEW YORK,USA
10010,NY,NEW YORK,NEW YORK,USA
10011,NY,NEW YORK,NEW YORK,USA
10012,NY,NEW YORK,NEW YORK,USA
10013,NY,NEW YORK,NEW YORK,USA
10014,NY,NEW YORK,NEW YORK,USA
10016,NY,NEW YORK,NEW YORK,USA
10017,NY,NEW YORK,NEW YORK,USA
10018,NY,NEW YORK,NEW YORK,USA
10019,NY,NEW YORK,NEW YORK,USA
10020,NY,NEW YORK,NEW YORK,USA
10021,NY,NEW YORK,NEW YORK,USA
10022,NY,NEW YORK,NEW YORK,USA
10023,NY,NEW YORK,NEW YORK,USA
10024,NY,NEW YORK,NEW YORK,USA
10025,NY,NEW YORK,NEW YORK,USA
10026,NY,NEW YORK,NEW YORK,USA
10027,NY,NEW YORK,NEW YORK,USA
10028,NY,NEW YORK,NEW YORK,USA
10029,NY,NEW YORK,NEW YORK,USA
10030,NY,NEW YORK,NEW YORK,USA
10031,NY,NEW YORK,NEW YORK,USA
10032,NY,NEW YORK,NEW YORK,USA
10033,NY,NEW YORK,NEW YORK,USA
10034,NY,NEW YORK,NEW YORK,USA
10035,NY,NEW YORK,NEW YORK,USA
10036,NY,NEW YORK,NEW YORK,USA
10037,NY,NEW YORK,NEW YORK,USA
10038,NY,NEW YORK,NEW YORK,USA
10039,NY,NEW YORK,NEW YORK,USA
10040,NY,NEW YORK,NEW YORK,USA
10044,NY,NEW YORK,NEW YORK,USA
10065,NY,NEW YORK,NEW YORK,USA
10069,NY,NEW YORK,NEW YORK,USA
10075,NY,NEW YORK,NEW YORK,USA
10103,NY,NEW YORK,NEW YORK,USA
10110,NY,NEW YORK,NEW YORK,USA
10111,NY,NEW YORK,NEW YORK,USA
10112,NY,NEW YORK,NEW YORK,USA
10115,NY,NEW YORK,NEW YORK,USA
10119,NY,NEW YORK,NEW YORK,USA
10128,NY,NEW YORK,NEW YORK,USA
10152,NY,NEW YORK,NEW YORK,USA
10153,NY,NEW YORK,NEW YORK,USA
10154,NY,NEW YORK,NEW YORK,USA
10162,NY,NEW YORK,NEW YORK,USA
10165,NY,NEW YORK,NEW YORK,USA
10167,NY,NEW YORK,NEW YORK,USA
10168,NY,NEW YORK,NEW YORK,USA
10169,NY,NEW YORK,NEW YORK,USA
10170,NY,NEW YORK,NEW YORK,USA
10171,NY,NEW YORK,NEW YORK,USA
10172,NY,NEW YORK,NEW YORK,USA
10173,NY,NEW YORK,NEW YORK,USA
10174,NY,NEW YORK,NEW YORK,USA
10177,NY,NEW YORK,NEW YORK,USA
10199,NY,NEW YORK,NEW YORK,USA
10271,NY,NEW YORK,NEW YORK,USA
10278,NY,NEW YORK,NEW YORK,USA
10279,NY,NEW YORK,NEW YORK,USA
10280,NY,NEW YORK,NEW YORK,USA
10282,NY,NEW YORK,NEW YORK,USA
10301,NY,STATEN ISLAND,RICHMOND,USA
10302,NY,STATEN ISLAND,RICHMOND,USA
10303,NY,STATEN ISLAND,RICHMOND,USA
10304,NY,STATEN ISLAND,RICHMOND,USA
10305,NY,STATEN ISLAND,RICHMOND,USA
10306,NY,STATEN ISLAND,RICHMOND,USA
10307,NY,STATEN ISLAND,RICHMOND,USA
10308,NY,STATEN ISLAND,RICHMOND,USA
10309,NY,STATEN ISLAND,RICHMOND,USA
10310,NY,STATEN ISLAND,RICHMOND,USA
10311,NY,STATEN ISLAND,RICHMOND,USA
10312,NY,STATEN ISLAND,RICHMOND,USA
